time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1/1/00,51,75.9,69.6,72.3,75.8,70.5,72.7,2000-01-01T07:07,2000-01-01T17:40,38012.65,34230.95,0.1,0.1,0,1,13.5,21.3,80,13.4,3.2
1/2/00,1,76.1,70.3,72.6,75,69.3,71.7,2000-01-02T07:07,2000-01-02T17:41,38036.15,34630.02,0,0,0,0,13.7,22.1,69,15.4,3.9
1/3/00,51,76.6,71.2,73.7,75.8,71.3,73.9,2000-01-03T07:07,2000-01-03T17:42,38061.85,33985.65,0.5,0.5,0,3,15.5,24.6,101,11.78,3.16
1/4/00,51,77.6,71.5,74.3,80.4,74.3,77.1,2000-01-04T07:08,2000-01-04T17:42,38089.7,34169,0.2,0.2,0,1,13,21.3,141,13.56,2.89
1/5/00,51,75.7,67.9,71.1,76.1,69.8,73.1,2000-01-05T07:08,2000-01-05T17:43,38119.63,29369.16,0.6,0.6,0,6,15.7,26.6,28,10.42,2.22
1/6/00,51,76.5,71.3,73.3,77.1,70.8,74.1,2000-01-06T07:08,2000-01-06T17:44,38151.58,34353.88,0.8,0.8,0,7,15,27.5,88,12.65,2.89
1/7/00,1,77.3,71.3,73.5,78.6,73.6,75.8,2000-01-07T07:08,2000-01-07T17:45,38185.49,34435.36,0,0,0,0,11.9,19,81,13.4,2.88
1/8/00,1,76.8,70.9,73.3,78.7,74.1,75.7,2000-01-08T07:08,2000-01-08T17:45,38221.3,34444.24,0,0,0,0,10.9,17.9,76,14.37,2.99
1/9/00,1,77.6,70.6,73.8,79.6,73,76.2,2000-01-09T07:08,2000-01-09T17:46,38258.95,34822.23,0,0,0,0,10.6,18.1,129,14.03,3.04
1/10/00,1,79.5,71.7,74.9,81.1,72.9,76.8,2000-01-10T07:08,2000-01-10T17:47,38298.38,34785.95,0,0,0,0,11.9,20.8,178,14.67,3.42
1/11/00,3,77.9,67.5,72.2,82.8,72.9,76.3,2000-01-11T07:09,2000-01-11T17:48,38339.54,32388.08,0,0,0,0,8.9,16.1,143,13.81,2.76
1/12/00,0,76.7,69.4,72.7,74.7,67.8,71.8,2000-01-12T07:09,2000-01-12T17:48,38382.33,35451.15,0,0,0,0,13,21.5,61,16.57,4.1
1/13/00,51,75.7,69.2,72.1,78.2,71.1,74.7,2000-01-13T07:09,2000-01-13T17:49,38426.73,35032.57,0.4,0.4,0,3,7.8,13,80,11.97,2.53
1/14/00,3,72.7,62.4,66.4,69.5,50.5,59.4,2000-01-14T07:09,2000-01-14T17:50,38472.66,34639.29,0,0,0,0,28.9,46.5,17,14.51,4
1/15/00,51,66.3,62.5,64.3,56.5,50.7,54.1,2000-01-15T07:09,2000-01-15T17:51,38520.07,24751.91,0.2,0.2,0,2,26.6,44.3,54,9.26,4.6
1/16/00,51,68.9,64.9,66.5,63.1,56.4,60.1,2000-01-16T07:09,2000-01-16T17:51,38568.89,20780.5,0.1,0.1,0,1,18.9,30.2,63,8.3,4.03
1/17/00,1,72.2,62.7,66.9,67.3,59.4,62.4,2000-01-17T07:08,2000-01-17T17:52,38619.08,35709.99,0,0,0,0,12.1,19.7,7,16.69,4.28
1/18/00,1,74.4,60.5,67,72.5,58,64.2,2000-01-18T07:08,2000-01-18T17:53,38670.55,35766.07,0,0,0,0,13.4,20.6,319,16.39,3.82
1/19/00,3,75.6,61.3,67.7,74.3,59.7,66,2000-01-19T07:08,2000-01-19T17:54,38723.48,30915.4,0,0,0,0,12,19.7,285,13.02,3.12
1/20/00,51,76.2,64,69.5,70.2,62.4,66.1,2000-01-20T07:08,2000-01-20T17:54,38778.41,35158.52,0.2,0.2,0,1,23.1,36,257,11.12,3.43
1/21/00,0,66.6,55.2,60.9,61.6,47.6,55,2000-01-21T07:08,2000-01-21T17:55,38835.25,35945.9,0,0,0,0,16.9,25.5,348,17.5,3.92
1/22/00,2,70.3,59.6,64.9,67.4,55.9,61.9,2000-01-22T07:08,2000-01-22T17:56,38893.94,35908.82,0,0,0,0,10.2,18.6,90,14.81,3.37
1/23/00,2,76.7,66.6,71.3,75.4,64.2,69.9,2000-01-23T07:07,2000-01-23T17:57,38954.35,35846.83,0,0,0,0,12.8,23.9,161,15.98,4.03
1/24/00,63,72.5,56.2,68.7,71.3,47.7,65.4,2000-01-24T07:07,2000-01-24T17:57,39016.4,20885.85,11.9,11.9,0,11,21.7,36,242,9.48,2.61
1/25/00,3,62.9,51.4,56.9,55.4,43.7,49.6,2000-01-25T07:07,2000-01-25T17:58,39079.99,31633.23,0,0,0,0,17.3,28.2,294,15.28,3.38
1/26/00,2,60.2,52.9,56.7,52.6,46,50.2,2000-01-26T07:06,2000-01-26T17:59,39145.04,35304.5,0,0,0,0,16.1,26.6,312,17.45,3.27
1/27/00,1,61.7,46.7,54.8,56.5,39.2,49,2000-01-27T07:06,2000-01-27T18:00,39211.44,36354.72,0,0,0,0,11.8,18.6,10,17.99,3.3
1/28/00,3,69.4,61.1,66.2,65.3,56.5,61.9,2000-01-28T07:06,2000-01-28T18:00,39279.1,13809.64,0,0,0,0,14.8,23.7,95,8.33,3.2
1/29/00,51,73.5,67.9,70.2,72.8,65.1,68.8,2000-01-29T07:05,2000-01-29T18:01,39347.94,36403.21,0.1,0.1,0,1,14.2,22.8,115,13.62,3.46
1/30/00,51,74.8,68.2,70.9,74.7,67.6,70.9,2000-01-30T07:05,2000-01-30T18:02,39417.86,36217.5,0.5,0.5,0,4,12.2,23.5,132,14.78,3.3
1/31/00,51,75.2,63.8,69.7,80,65.4,71.9,2000-01-31T07:05,2000-01-31T18:03,39488.79,36654.36,0.4,0.4,0,3,11.8,19.5,60,14.91,2.91
2/1/00,51,73.6,65.7,69.3,77.3,67.8,71.3,2000-02-01T07:04,2000-02-01T18:03,39560.62,35165.91,1.5,1.5,0,6,10.2,17.4,50,13.81,2.59
2/2/00,51,71.4,67.3,69.1,70.3,66.6,68.7,2000-02-02T07:04,2000-02-02T18:04,39633.27,24719.4,2,2,0,11,14.1,23.9,55,9.03,2.21
2/3/00,61,73.2,66.4,70,74.9,67.2,71.4,2000-02-03T07:03,2000-02-03T18:05,39706.68,31388.1,13.9,13.9,0,11,13.4,22.8,143,12.65,2.49
2/4/00,53,72.1,65.8,68.5,76,63.8,70.9,2000-02-04T07:03,2000-02-04T18:06,39780.74,29270.3,1.6,1.6,0,6,7.9,15.4,340,10.83,2.1
2/5/00,1,66.4,57.7,61.4,61.6,51.5,55.6,2000-02-05T07:02,2000-02-05T18:06,39855.38,37048.08,0,0,0,0,15.9,25.1,344,19.01,4
2/6/00,3,67.6,55.2,61.4,63,48.9,56.2,2000-02-06T07:02,2000-02-06T18:07,39930.52,37128.46,0,0,0,0,14.3,21.5,32,17.54,3.76
2/7/00,3,71.5,61.4,66.6,69.9,59.7,64,2000-02-07T07:01,2000-02-07T18:08,40006.08,36211.2,0,0,0,0,9.2,13.4,85,16.97,3.92
2/8/00,61,71.4,61.5,67.4,69.8,62.8,66.4,2000-02-08T07:00,2000-02-08T18:08,40082.25,20347.43,5.1,5.1,0,10,11,17.7,89,8.69,2.44
2/9/00,63,67.8,56.9,61.9,62.4,51.2,57.2,2000-02-09T07:00,2000-02-09T18:09,40159.71,37372.93,7.1,7.1,0,5,18.6,29.3,314,19.45,3.75
2/10/00,0,68.6,54.3,60.6,64.3,49,56.1,2000-02-10T06:59,2000-02-10T18:10,40238.41,37456.66,0,0,0,0,12.8,21,323,19.83,3.88
2/11/00,0,69.9,55.1,62.5,72.5,52.7,61.3,2000-02-11T06:59,2000-02-11T18:11,40318.27,37541.52,0,0,0,0,7.9,11.4,240,19.67,3.59
2/12/00,2,73.9,62.3,67.8,76,60.5,67.4,2000-02-12T06:58,2000-02-12T18:11,40399.18,37627.39,0,0,0,0,8.6,14.3,158,18.25,3.76
2/13/00,0,75,67.4,70.9,75.9,66.6,70.9,2000-02-13T06:57,2000-02-13T18:12,40481.07,37714.2,0,0,0,0,12.5,20.8,137,19.07,4
2/14/00,51,78.6,71.4,74.3,80.7,71.4,76.2,2000-02-14T06:56,2000-02-14T18:13,40563.86,37801.84,0.1,0.1,0,1,16.8,25.9,166,17.37,3.45
2/15/00,3,76.7,69.3,72.1,78,71.7,74.7,2000-02-15T06:56,2000-02-15T18:13,40647.45,36838.88,0,0,0,0,13.8,21.9,35,15.94,3.08
2/16/00,0,75.9,68.5,71.4,77.2,68.6,71.9,2000-02-16T06:55,2000-02-16T18:14,40731.77,37979.23,0,0,0,0,11.6,19.2,70,19.7,4.03
2/17/00,2,74.8,67.1,70.7,73.7,66.9,69.6,2000-02-17T06:54,2000-02-17T18:14,40816.73,38068.8,0,0,0,0,14,22.8,73,19.51,4.29
2/18/00,51,76.8,70.2,73.2,78.4,69.7,74,2000-02-18T06:53,2000-02-18T18:15,40902.24,38158.85,0.3,0.3,0,3,14.9,25.1,111,17.49,3.7
2/19/00,1,77.4,70.1,73.4,80.6,73.5,75.9,2000-02-19T06:53,2000-02-19T18:16,40988.25,38249.27,0,0,0,0,11.4,19.5,128,19.08,3.79
2/20/00,51,77.5,65.8,71.4,82.6,70.2,75.3,2000-02-20T06:52,2000-02-20T18:16,41074.65,37312.53,0.8,0.8,0,4,7.5,12.1,28,16.16,3.15
2/21/00,51,73.8,67.4,69.6,71.5,63,67.1,2000-02-21T06:51,2000-02-21T18:17,41161.38,36627.27,0.9,0.9,0,5,16,26.4,26,16.2,4.01
2/22/00,51,72.4,65,68.2,68,61.6,64.4,2000-02-22T06:50,2000-02-22T18:18,41248.36,38521.98,2.4,2.4,0,11,21,33.6,57,15.63,3.83
2/23/00,3,72.4,67.9,69.6,66.4,61.3,63.8,2000-02-23T06:49,2000-02-23T18:18,41335.52,30128.72,0,0,0,0,18.5,29.1,65,11.55,4.68
2/24/00,51,73.4,68.3,70.2,68.6,62.5,66.2,2000-02-24T06:48,2000-02-24T18:19,41422.78,38192.1,0.7,0.7,0,5,18.4,29.3,61,14.84,4.29
2/25/00,51,72.9,68,70,71.2,65.7,68.2,2000-02-25T06:47,2000-02-25T18:19,41510.07,38379,1,1,0,6,16.9,27.3,78,14.85,3.32
2/26/00,51,73.1,69.3,70.7,71.5,67,69.3,2000-02-26T06:47,2000-02-26T18:20,41597.32,38885.99,0.9,0.9,0,5,17,28.4,86,14.3,3.34
2/27/00,1,75,69.4,71.8,75.1,68.3,71,2000-02-27T06:46,2000-02-27T18:20,41684.45,38976.54,0,0,0,0,14.9,22.6,106,17.85,4.21
2/28/00,51,74.1,65,70.2,75.7,66.9,72,2000-02-28T06:45,2000-02-28T18:21,41771.64,39066.92,0.3,0.3,0,3,8.6,15.4,58,16.5,3.24
2/29/00,51,75.1,67.4,71.1,76.2,68.8,71.5,2000-02-29T06:44,2000-02-29T18:22,41859.58,39157.83,0.3,0.3,0,2,9.9,17.9,73,17.24,3.77
3/1/00,1,77,65.6,71.5,79.8,67.2,71.9,2000-03-01T06:43,2000-03-01T18:22,41948.21,39233.23,0,0,0,0,9.5,16.6,112,20.54,4.51
3/2/00,2,77.6,63.7,70.5,79,62.7,69.9,2000-03-02T06:42,2000-03-02T18:23,42037.48,39291.31,0,0,0,0,12.7,18.8,250,22.13,4.9
3/3/00,3,76.9,64.6,70.8,80.5,65.5,71.5,2000-03-03T06:41,2000-03-03T18:23,42127.31,39350.32,0,0,0,0,12.7,20.8,247,18.84,4.09
3/4/00,3,80.4,64.3,71.7,79.7,65.8,71.4,2000-03-04T06:40,2000-03-04T18:24,42217.64,39410.16,0,0,0,0,14.3,22.1,250,21.5,4.85
3/5/00,3,78.9,68.4,72.9,83.6,69.2,74.8,2000-03-05T06:39,2000-03-05T18:24,42308.4,39470.74,0,0,0,0,11.5,18.1,269,17.41,3.8
3/6/00,3,77.8,65.1,71.5,81.5,64.7,71.5,2000-03-06T06:38,2000-03-06T18:25,42399.52,39531.97,0,0,0,0,14.4,23.9,38,19.79,4.54
3/7/00,3,74.2,69.4,71.6,70.4,67.2,68.4,2000-03-07T06:37,2000-03-07T18:25,42490.93,36611.71,0,0,0,0,16.5,27.3,71,16.15,4.69
3/8/00,51,74,70,71.7,72.8,68.3,70.4,2000-03-08T06:36,2000-03-08T18:26,42582.57,39600,0.1,0.1,0,1,14.1,22.8,96,14.11,3.77
3/9/00,2,76.2,69.5,72.1,76.9,69.4,71.9,2000-03-09T06:35,2000-03-09T18:26,42674.38,39600,0,0,0,0,11.7,19.9,108,21.01,4.62
3/10/00,2,78.1,68.8,73.3,77.2,68.3,72.4,2000-03-10T06:34,2000-03-10T18:27,42766.29,39560.16,0,0,0,0,12.4,21.9,124,19.21,4.8
3/11/00,51,77.4,72.1,74.2,76.5,70.2,73.5,2000-03-11T06:33,2000-03-11T18:27,42858.23,39600,0.7,0.7,0,4,17.2,27.7,159,16.98,4.3
3/12/00,51,81,70.5,74.8,85.9,73.4,78,2000-03-12T06:32,2000-03-12T18:28,42950.15,39600,0.2,0.2,0,2,10.1,16.6,219,19.21,4.02
3/13/00,3,74.4,69.3,71.3,72.4,65.3,68.5,2000-03-13T06:31,2000-03-13T18:28,43041.97,39600,0,0,0,0,17.5,27.7,53,19.71,4.77
3/14/00,51,73.4,68.7,70.9,69.5,65,67.6,2000-03-14T06:30,2000-03-14T18:29,43133.63,30494.24,0.6,0.6,0,5,19.1,30.4,62,13.65,4.03
3/15/00,51,77.2,70.4,73.8,77.4,69.7,73.1,2000-03-15T06:29,2000-03-15T18:29,43225.07,39600,0.7,0.7,0,6,17.9,28.6,96,19.01,4.32
3/16/00,51,78.5,72.2,74.9,78.4,72,75.5,2000-03-16T06:28,2000-03-16T18:30,43316.22,39600,1,1,0,7,20,33.3,139,19.05,3.99
3/17/00,61,80.1,71.2,75.3,86.9,75.5,80.1,2000-03-17T06:27,2000-03-17T18:30,43407.02,39600,7.4,7.4,0,7,10.4,17,158,21.33,4.21
3/18/00,53,76.3,69.1,72.6,80,71,76.6,2000-03-18T06:26,2000-03-18T18:31,43497.41,39600,3.3,3.3,0,9,13.8,21,76,17.15,3.14
3/19/00,53,74.2,69.5,71.5,76.1,69.5,73.1,2000-03-19T06:25,2000-03-19T18:31,43587.56,39600,4.4,4.4,0,17,14.9,24.2,101,18.17,3.12
3/20/00,51,79.5,72.2,75.2,85.5,72.8,78.9,2000-03-20T06:24,2000-03-20T18:32,43678.08,39600,1,1,0,5,13.3,19.2,182,18.93,3.96
3/21/00,3,78.9,70.9,74.5,86.3,73.9,79.8,2000-03-21T06:23,2000-03-21T18:32,43768.95,39667.58,0,0,0,0,8.3,14.8,46,20.4,3.88
3/22/00,51,79.6,69.2,74,85.5,73.3,79,2000-03-22T06:22,2000-03-22T18:33,43860.1,38574.45,0.5,0.5,0,3,10.5,22.4,44,21.43,4.05
3/23/00,51,75.5,67.7,71.6,71.8,64.8,68.5,2000-03-23T06:20,2000-03-23T18:33,43951.49,37976.42,0.1,0.1,0,1,18.5,29.5,20,21.15,5.17
3/24/00,51,74.8,69.1,71.6,72.1,66,69,2000-03-24T06:19,2000-03-24T18:33,44043.05,39826.79,0.2,0.2,0,1,16.5,25.5,43,18.34,4.71
3/25/00,1,75.9,67.9,71.5,75.3,66.7,69.8,2000-03-25T06:18,2000-03-25T18:34,44134.73,40056.7,0,0,0,0,12.4,20.4,58,24.31,5.41
3/26/00,3,77.4,65.5,71.8,79.6,66.7,71.7,2000-03-26T06:17,2000-03-26T18:34,44226.46,29132.87,0,0,0,0,10.9,18.8,170,18.08,4.37
3/27/00,51,81.8,68.5,74.6,79.1,68.6,73.2,2000-03-27T06:16,2000-03-27T18:35,44318.2,39985.66,0.2,0.2,0,1,18.5,30,225,20.64,5.42
3/28/00,63,80,66.9,73.1,84.3,67.9,75,2000-03-28T06:15,2000-03-28T18:35,44409.87,36802.79,13.9,13.9,0,8,16.4,32.2,244,19.81,4.09
3/29/00,51,79.4,70.6,74.6,85.4,75.6,80.2,2000-03-29T06:14,2000-03-29T18:36,44501.42,40055.09,2.6,2.6,0,11,11,19,173,20.73,3.78
3/30/00,1,81.2,73.8,76.9,86,78.1,81.6,2000-03-30T06:13,2000-03-30T18:36,44592.8,40626.03,0,0,0,0,15,25.5,173,23.73,4.4
3/31/00,3,82.6,73.9,77.9,91.4,79.6,84.2,2000-03-31T06:12,2000-03-31T18:37,44683.93,40497.64,0,0,0,0,9.6,15.4,225,21.81,4.47
4/1/00,3,79.1,73.2,75.7,81.9,72.9,77.7,2000-04-01T06:11,2000-04-01T18:37,44774.76,40357.94,0,0,0,0,17.5,28.2,62,21.95,4.31
4/2/00,2,76.5,71.6,73.5,76.1,69.2,71.9,2000-04-02T06:10,2000-04-02T18:38,44865.23,39649.52,0,0,0,0,17.5,27.7,96,23.11,5.42
4/3/00,3,78.2,71.1,74.2,78,68.9,72.9,2000-04-03T06:09,2000-04-03T18:38,44955.28,39600,0,0,0,0,18.2,28.2,134,20.82,5.21
4/4/00,2,82.2,71.2,76.4,86.4,70.8,77.9,2000-04-04T06:08,2000-04-04T18:38,45044.84,41568.42,0,0,0,0,15.1,22.4,207,23.41,5.52
4/5/00,1,73.4,62.3,68,69.7,54.5,62.4,2000-04-05T06:07,2000-04-05T18:39,45133.84,41790.79,0,0,0,0,19.5,31.1,5,27.08,6.15
4/6/00,3,73,65,69,71.1,61.6,66.2,2000-04-06T06:06,2000-04-06T18:39,45222.23,40736.27,0,0,0,0,12.8,21.7,70,20.6,4.81
4/7/00,51,78.5,66.9,72.7,79.7,66.8,73.4,2000-04-07T06:05,2000-04-07T18:40,45309.95,41662.59,0.7,0.7,0,6,12.1,20.8,121,21.04,4.48
4/8/00,63,79.9,71,74.4,85.1,74,77.7,2000-04-08T06:04,2000-04-08T18:40,45397.14,41634.68,6.1,6.1,0,9,11,23.7,181,20.97,4.13
4/9/00,3,71.5,66,68.6,73.8,58.7,64.6,2000-04-09T06:03,2000-04-09T18:41,45484.38,41687.29,0,0,0,0,20.8,32.9,21,25.03,4.97
4/10/00,3,72.1,66.7,69.5,66.4,61.7,64,2000-04-10T06:02,2000-04-10T18:41,45571.67,25403.3,0,0,0,0,19.7,31.8,75,14.86,4.82
4/11/00,51,77.7,70.8,73.9,76,65.9,71.4,2000-04-11T06:01,2000-04-11T18:42,45658.93,37334.68,0.6,0.6,0,3,15.5,26.2,97,19.11,5.43
4/12/00,51,77.5,70.4,73.9,81.7,73.7,77.8,2000-04-12T06:00,2000-04-12T18:42,45746.1,39625.09,0.9,0.9,0,6,12.1,20.8,122,18.69,3.54
4/13/00,61,78.2,72.3,75.2,81.8,75.2,78.2,2000-04-13T05:59,2000-04-13T18:43,45833.13,41432.68,3.8,3.8,0,9,13.1,21.5,143,18.22,3.7
4/14/00,61,76.4,72,74.1,78.3,73.5,76.2,2000-04-14T05:58,2000-04-14T18:43,45919.97,586.74,9.4,9.4,0,10,14.6,25.1,152,8.47,2.39
4/15/00,63,77.7,69.3,73.6,82,72.9,77,2000-04-15T05:57,2000-04-15T18:44,46006.54,32295.37,18.1,18.1,0,21,13.1,27.1,174,16.97,3.22
4/16/00,63,78.7,69.7,72.7,87,73.5,78.5,2000-04-16T05:56,2000-04-16T18:44,46092.79,35160.79,18.9,18.9,0,14,7.3,15.2,176,20.7,3.79
4/17/00,51,81,69.1,74.7,90,70,79.8,2000-04-17T05:55,2000-04-17T18:45,46178.64,42981.87,0.5,0.5,0,3,11.4,18.1,248,24.54,4.84
4/18/00,1,82.5,67.4,74,84.4,66.3,74.4,2000-04-18T05:54,2000-04-18T18:45,46264.04,42846.4,0,0,0,0,17.4,28.4,271,25.8,5.64
4/19/00,1,77.6,64.1,71.3,83.4,62.1,72.3,2000-04-19T05:53,2000-04-19T18:46,46348.93,43203.01,0,0,0,0,13.7,21,340,27.2,5.43
4/20/00,1,79,67.5,73.9,83,69.5,75.7,2000-04-20T05:52,2000-04-20T18:46,46433.23,43263.61,0,0,0,0,9.2,16.1,96,26.26,5.36
4/21/00,1,81.7,65.5,74.2,86.5,67.3,76.1,2000-04-21T05:51,2000-04-21T18:47,46516.88,43323.18,0,0,0,0,13.3,20.4,230,27.03,5.79
4/22/00,3,83.9,67.7,75.2,85,64.8,74.5,2000-04-22T05:50,2000-04-22T18:47,46599.81,43261.3,0,0,0,0,13.9,22.6,260,21.51,5.68
4/23/00,2,80.3,62.1,71.2,81.8,60.5,71.4,2000-04-23T05:49,2000-04-23T18:47,46681.95,43752.21,0,0,0,0,11.7,18.1,255,28.54,5.89
4/24/00,3,83.5,70.4,77.6,87.3,72.2,80.1,2000-04-24T05:49,2000-04-24T18:48,46763.23,43072.4,0,0,0,0,16.6,26.8,179,25.82,5.56
4/25/00,2,86.2,75.4,80,88.7,79.1,82.6,2000-04-25T05:48,2000-04-25T18:48,46843.58,43442.83,0,0,0,0,17.2,28.9,230,23.86,5.65
4/26/00,1,79.9,68.2,74.4,86.4,66.4,76.5,2000-04-26T05:47,2000-04-26T18:49,46922.92,44034.95,0,0,0,0,10.9,19.2,322,27.87,5.69
4/27/00,2,79,67.7,73.6,83.2,66.3,74.3,2000-04-27T05:46,2000-04-27T18:49,47001.18,44091.5,0,0,0,0,12.2,19.2,10,26.91,5.86
4/28/00,0,82.7,66.6,74.9,85.3,65.9,74.5,2000-04-28T05:45,2000-04-28T18:50,47078.51,44256.95,0,0,0,0,14.1,20.4,244,28.25,6.65
4/29/00,0,82.4,66,75,87.3,66.9,76.3,2000-04-29T05:45,2000-04-29T18:51,47155.44,44200.8,0,0,0,0,11.7,17.4,253,27.58,6.15
4/30/00,2,79.3,68.6,74.2,79.8,68.8,72.7,2000-04-30T05:44,2000-04-30T18:51,47231.96,44366.73,0,0,0,0,19.5,31.5,17,25.1,5.98
5/1/00,3,78.5,71.9,74.9,76.1,68.8,72,2000-05-01T05:43,2000-05-01T18:52,47308,40962.06,0,0,0,0,15.5,25.3,75,19.26,5.86
5/2/00,3,80.1,72.7,76.2,79.2,70.6,74.5,2000-05-02T05:42,2000-05-02T18:52,47383.51,36749.9,0,0,0,0,14,21.9,84,19.45,5.77
5/3/00,51,79.4,73.8,76.3,80.1,72.8,75.8,2000-05-03T05:42,2000-05-03T18:53,47458.4,43308.79,0.1,0.1,0,1,15.9,26.6,91,20.9,5.4
5/4/00,3,78.2,72.6,74.6,78.1,70.9,73.4,2000-05-04T05:41,2000-05-04T18:53,47532.62,39701.84,0,0,0,0,15.7,25.7,87,23.66,5.74
5/5/00,1,78.9,71.8,75,78.6,70.6,73.5,2000-05-05T05:40,2000-05-05T18:54,47606.11,44505.54,0,0,0,0,16.5,27.1,78,27.07,6.39
5/6/00,51,78.5,72.6,75.2,78.3,71.6,74.7,2000-05-06T05:40,2000-05-06T18:54,47678.79,44791.54,0.4,0.4,0,3,16,26.2,77,22.09,5.32
5/7/00,1,78.8,72.7,75.2,80.4,72.7,75,2000-05-07T05:39,2000-05-07T18:55,47750.59,44719.03,0,0,0,0,14.9,24.4,85,23.85,5.54
5/8/00,51,79.8,73.1,76.3,83,73.3,78.3,2000-05-08T05:38,2000-05-08T18:55,47821.45,44278.02,0.4,0.4,0,3,14.2,24.6,113,22.12,4.96
5/9/00,3,81.7,74.9,77.6,84.2,75.8,78.9,2000-05-09T05:38,2000-05-09T18:56,47891.29,45078.2,0,0,0,0,12.7,21.9,125,27.31,6.23
5/10/00,51,83.7,74.9,78.7,90.9,78.6,83.4,2000-05-10T05:37,2000-05-10T18:56,47960.04,44604.7,0.3,0.3,0,2,10.8,17,159,25.52,5.49
5/11/00,1,83.9,73.7,78.8,91.2,80.6,85,2000-05-11T05:36,2000-05-11T18:57,48027.62,45205.07,0,0,0,0,11.1,17,138,25.98,5.39
5/12/00,1,83.5,73.5,78.7,91,80.9,84.9,2000-05-12T05:36,2000-05-12T18:57,48093.96,45266.7,0,0,0,0,10,16.3,139,25.65,5.27
5/13/00,1,83.8,75.5,79,90.8,80.7,83.9,2000-05-13T05:35,2000-05-13T18:58,48158.99,45298.08,0,0,0,0,11.2,19,131,26.19,5.62
5/14/00,2,83.3,74.3,78.9,90.8,80.1,84.2,2000-05-14T05:35,2000-05-14T18:58,48222.62,45080.37,0,0,0,0,10.6,17.9,145,25.65,5.46
5/15/00,63,86,74.9,78.6,93.3,80.1,84.3,2000-05-15T05:34,2000-05-15T18:59,48284.8,43927.85,6.9,6.9,0,6,12,19.9,213,22.84,4.85
5/16/00,61,80.8,73.1,77,88.9,79.4,83.5,2000-05-16T05:34,2000-05-16T19:00,48345.41,44577.13,5.4,5.4,0,10,10.7,19.2,75,22.11,4.31
5/17/00,51,80.4,73.8,76.9,84.2,76.1,80.1,2000-05-17T05:33,2000-05-17T19:00,48404.39,45413.85,0.3,0.3,0,2,16.1,26.4,66,24.77,5
5/18/00,3,80.4,75.1,77.2,82.7,74.6,77.7,2000-05-18T05:33,2000-05-18T19:01,48461.86,45442.48,0,0,0,0,16.9,27.3,80,27.02,6.11
5/19/00,3,81,74.2,76.9,81.1,73.6,76.3,2000-05-19T05:32,2000-05-19T19:01,48518.25,44998.18,0,0,0,0,14.1,23.3,85,24.35,6.21
5/20/00,1,81.4,73.9,77.1,85.4,74.2,78.2,2000-05-20T05:32,2000-05-20T19:02,48573.54,45500.38,0,0,0,0,12,19.9,112,27.97,6.43
5/21/00,1,82.2,73.8,77.9,86.5,75.2,79.8,2000-05-21T05:32,2000-05-21T19:02,48627.68,45529.53,0,0,0,0,11.3,20.6,133,28.25,6.42
5/22/00,51,85.2,75.3,80.2,89.7,77.9,83.2,2000-05-22T05:31,2000-05-22T19:03,48680.62,45558.72,0.5,0.5,0,4,11.4,19,187,21.84,5.52
5/23/00,53,86.6,74,79.9,93,78.6,84.8,2000-05-23T05:31,2000-05-23T19:03,48732.3,45284.93,1.3,1.3,0,2,9,17.4,241,23.33,5.29
5/24/00,53,86.1,74.4,80.2,93.6,81.5,87.1,2000-05-24T05:31,2000-05-24T19:04,48782.67,44742.17,0.9,0.9,0,4,9.2,17.7,233,23.9,5.02
5/25/00,53,86,73.5,80.2,96.9,81.2,88,2000-05-25T05:30,2000-05-25T19:04,48831.67,45646,0.9,0.9,0,2,9.7,16.1,195,24.17,5.03
5/26/00,51,85.6,77.1,81.2,95.2,86.7,89.7,2000-05-26T05:30,2000-05-26T19:05,48879.25,45674.77,0.4,0.4,0,1,11.9,20.4,142,24.4,4.97
5/27/00,2,85.6,78.7,81.5,94.3,85.6,88.7,2000-05-27T05:30,2000-05-27T19:05,48925.35,45703.28,0,0,0,0,11.2,18.8,125,26.85,5.62
5/28/00,51,85.9,77.9,81.2,95.8,84.5,88.2,2000-05-28T05:30,2000-05-28T19:06,48969.91,44896.04,0.4,0.4,0,2,10.5,16.8,171,25.42,5.49
5/29/00,61,86.3,76.5,81.2,92.7,83.7,87.9,2000-05-29T05:29,2000-05-29T19:06,49012.88,42334.23,2.3,2.3,0,3,11.3,20.1,225,20.52,4.6
5/30/00,63,85.4,75.6,79.3,95.6,78.9,86.8,2000-05-30T05:29,2000-05-30T19:07,49054.2,37466.04,8.9,8.9,0,8,12.1,15.9,51,22.02,4.61
5/31/00,53,81.6,74.7,78.1,89.3,79.3,83.3,2000-05-31T05:29,2000-05-31T19:07,49093.81,45479.79,2.6,2.6,0,10,12.1,21.9,71,23.45,4.74
